code,name,open,close,weekly_return,turnover_sum,amplitude,days,high,low
510300,沪深300ETF,4.9,4.829,-1.45,174.08,3.51,5,4.949,4.777
510500,中证500ETF,8.93,8.698,-2.6,192.78,5.85,5,8.966,8.444
512100,中证1000ETF,3.499,3.312,-5.34,233.71,8.29,5,3.523,3.233
588000,科创50ETF,2.133,2.209,3.56,433.97,16.64,5,2.386,2.031
159915,创业板ETF,4.051,3.862,-4.67,319.4,6.34,5,4.088,3.831
512480,半导体ETF,1.36,1.369,0.66,120.41,17.28,5,1.512,1.277
159995,芯片ETF,3.06,1.535,-49.84,86.35,52.97,5,3.067,1.446
510880,红利ETF,3.018,3.045,0.89,40.08,3.18,5,3.103,3.007
159928,消费ETF,0.627,0.632,0.8,15.11,5.1,5,0.643,0.611
512170,医疗ETF,0.315,0.316,0.32,38.37,7.3,5,0.323,0.3
512800,银行ETF,0.744,0.767,3.09,42.91,4.03,5,0.77,0.74
516160,新能源ETF,2.861,2.572,-10.1,11.02,12.48,5,2.891,2.534
512000,券商ETF,0.56,0.532,-5.0,70.64,6.07,5,0.563,0.529
512660,军工ETF,1.307,1.281,-1.99,20.82,10.02,5,1.325,1.194
159869,游戏ETF,1.09,1.129,3.58,42.72,8.35,5,1.164,1.073
518880,黄金ETF,8.696,8.541,-1.78,107.75,3.36,5,8.738,8.446
