代码,名称,最新价,5日涨幅,10日涨幅,20日涨幅
510300,沪深300,4.634,-1.09,0.15,-2.63
588000,科创50,1.705,-4.05,0.83,-7.08
510880,红利,3.39,-2.84,-1.45,2.14
512800,银行,0.835,0.72,0.97,3.99
512170,医疗,0.337,-0.59,-0.59,-4.53
159928,消费,0.683,2.55,3.48,-1.01
512480,半导体,1.002,-5.29,-0.79,-7.31
159920,恒生,1.495,-0.07,-0.27,-1.58
513130,恒生科技,0.563,-1.92,-1.57,-7.25
516160,新能源,2.373,-3.22,-5.31,-7.88
512000,券商,0.523,-0.95,2.55,-0.38
512660,军工,1.151,0.79,5.6,-1.79
159995,芯片,1.12,-4.11,0.27,-7.05
518880,黄金,9.024,-1.22,-5.65,0.21
159915,创业板,3.414,-1.22,-1.24,-4.07
