代码,名称,最新价,涨跌幅,涨跌额,成交额,开盘价,最高,最低,昨收,更新时间
510300,沪深300,4.679,0.56,0.026,2094790341.0,4.648,4.693,4.641,4.653,2026-08-21 11:58:35+08:00
588000,科创50,1.746,0.11,0.002,3053756801.0,1.739,1.768,1.731,1.744,2026-08-21 11:58:25+08:00
510880,红利,3.391,0.27,0.009,287632200.0,3.378,3.397,3.372,3.382,2026-08-21 11:58:28+08:00
512800,银行,0.818,0.0,0.0,467529572.0,0.817,0.822,0.814,0.818,2026-08-21 11:58:33+08:00
512170,医疗,0.349,-2.79,-0.01,565447173.0,0.354,0.355,0.348,0.359,2026-08-21 11:58:36+08:00
159928,消费,0.66,-1.35,-0.009,171336185.9,0.669,0.669,0.657,0.669,2026-08-21 11:58:00+08:00
512480,半导体,1.043,0.38,0.004,743140918.0,1.034,1.059,1.03,1.039,2026-08-21 11:58:30+08:00
159920,恒生,1.518,0.13,0.002,118005691.1,1.514,1.521,1.513,1.516,2026-08-21 11:58:57+08:00
513130,恒生科技,0.585,-0.34,-0.002,1222616804.0,0.584,0.589,0.582,0.587,2026-08-21 11:58:35+08:00
516160,新能源,2.538,1.64,0.041,109160657.0,2.494,2.562,2.488,2.497,2026-08-21 11:58:25+08:00
512000,券商,0.508,0.0,0.0,465095784.0,0.508,0.51,0.505,0.508,2026-08-21 11:58:45+08:00
512660,军工,1.104,0.64,0.007,138085881.0,1.093,1.109,1.086,1.097,2026-08-21 11:58:34+08:00
159995,芯片,1.159,0.7,0.008,456290598.411,1.152,1.173,1.145,1.151,2026-08-21 11:58:48+08:00
518880,黄金,9.319,0.92,0.085,3857440478.0,9.301,9.342,9.295,9.234,2026-08-21 11:58:13+08:00
159915,创业板,3.555,1.22,0.043,4033099144.686,3.502,3.58,3.496,3.512,2026-08-21 11:58:54+08:00
