代码,名称,最新价,涨跌幅,成交额,更新时间
510300,沪深300,4.634,0.39,4602371534.0,2026-09-07 16:11:43+08:00
588000,科创50,1.705,2.22,6279827625.0,2026-09-07 16:11:57+08:00
510880,红利,3.39,-1.4,617294533.0,2026-09-07 16:12:00+08:00
512800,银行,0.835,-1.53,1024976948.0,2026-09-07 16:11:36+08:00
512170,医疗,0.337,-0.59,244396246.0,2026-09-07 16:12:01+08:00
159928,消费,0.683,-0.58,294791954.326,2026-09-07 15:34:54+08:00
512480,半导体,1.002,2.66,1295744209.0,2026-09-07 16:11:33+08:00
159920,恒生,1.495,-0.93,235307225.924,2026-09-07 15:34:18+08:00
513130,恒生科技,0.563,-0.35,1377812890.0,2026-09-07 16:11:37+08:00
516160,新能源,2.373,1.02,110652743.0,2026-09-07 16:11:59+08:00
512000,券商,0.523,-0.95,916898749.0,2026-09-07 16:11:40+08:00
512660,军工,1.151,0.26,199077753.0,2026-09-07 16:11:42+08:00
159995,芯片,1.12,3.13,738751235.778,2026-09-07 15:34:03+08:00
518880,黄金,9.024,-1.53,4537564249.0,2026-09-07 16:11:52+08:00
159915,创业板,3.414,3.3,7429465183.854,2026-09-07 15:34:51+08:00
