代码,名称,最新价,涨跌幅,成交额
510300,沪深300,4.624,-0.22,2838526769.0
588000,科创50,1.681,-1.41,5020493790.0
510880,红利,3.446,1.65,504994041.0
512800,银行,0.839,0.48,708046499.0
512170,医疗,0.341,1.19,382650793.0
159928,消费,0.683,0.0,236162650.36
512480,半导体,0.988,-1.4,1136168251.0
159920,恒生,1.486,-0.6,210142125.1
513130,恒生科技,0.553,-1.78,2108671053.0
516160,新能源,2.362,-0.46,117569090.0
512000,券商,0.52,-0.57,809637655.0
512660,军工,1.162,0.96,250306687.0
159995,芯片,1.106,-1.25,696461405.507
518880,黄金,9.047,0.25,3766204867.0
159915,创业板,3.376,-1.11,5455069870.539
