代码,名称,最新价,涨跌幅,成交额,最高,最低,昨收
510300,沪深300,4.567,-1.08,3323708374.0,4.592,4.532,4.617
588000,科创50,1.631,-1.69,6454701158.0,1.645,1.601,1.659
510880,红利,3.429,-1.27,333506378.0,3.48,3.413,3.473
512800,银行,0.851,-0.23,645740224.0,0.856,0.845,0.853
512170,医疗,0.326,-2.1,327449496.0,0.332,0.325,0.333
159928,消费,0.659,-1.2,184035426.611,0.665,0.656,0.667
512480,半导体,0.955,-2.15,814177468.0,0.963,0.935,0.976
159920,恒生,1.455,-0.75,182651937.352,1.457,1.443,1.466
513130,恒生科技,0.536,-0.19,1457697365.0,0.536,0.528,0.537
516160,新能源,2.298,-2.09,77523294.0,2.336,2.267,2.347
512000,券商,0.507,-2.69,1028062381.0,0.519,0.504,0.521
512660,军工,1.16,-1.69,293665967.0,1.169,1.144,1.18
159995,芯片,1.074,-1.92,434435053.9,1.08,1.051,1.095
518880,黄金,8.921,-1.78,3804427267.0,8.924,8.852,9.083
159915,创业板,3.323,-1.04,4833738920.145,3.345,3.28,3.358
