代码,名称,最新价,涨跌幅,成交额,今开,最高,最低,昨收
510300,沪深300,4.594,-0.412,1671175412,4.62,4.621,4.593,4.613
588000,科创50,1.756,-0.114,2759906959,1.764,1.77,1.749,1.758
510880,红利,3.356,-0.71,167693714,3.381,3.383,3.353,3.38
512800,银行,0.833,-0.715,431918819,0.836,0.84,0.831,0.839
512170,医疗,0.349,0.287,300366655,0.348,0.352,0.347,0.348
159928,消费,0.657,-0.152,86883812,0.658,0.663,0.656,0.658
512480,半导体,1.05,-0.095,498363149,1.055,1.06,1.044,1.051
159920,恒生,1.463,-0.679,130109700,1.472,1.472,1.458,1.473
513130,恒生科技,0.543,-1.093,906297299,0.549,0.55,0.542,0.549
516160,新能源,2.314,-0.857,42512507,2.334,2.334,2.312,2.334
512000,券商,0.51,-0.196,291123619,0.511,0.513,0.509,0.511
512660,军工,1.154,-1.199,105726963,1.168,1.169,1.148,1.168
159995,芯片,1.164,-0.257,353045974,1.166,1.177,1.159,1.167
518880,黄金,8.907,0.542,1423389542,8.91,8.919,8.893,8.859
159915,创业板,3.405,-0.439,2970606407,3.428,3.434,3.396,3.42
