代码,名称,最新价,涨跌幅,涨跌额,成交额,开盘价,最高,最低,昨收,更新时间
510300,沪深300,4.64,-0.3,-0.014,2719113562.0,4.67,4.689,4.632,4.654,2026-08-20 14:15:25+08:00
588000,科创50,1.735,-1.48,-0.026,5402550163.0,1.779,1.788,1.73,1.761,2026-08-20 14:15:14+08:00
510880,红利,3.378,0.54,0.018,458892483.0,3.34,3.397,3.34,3.36,2026-08-20 14:15:24+08:00
512800,银行,0.818,0.37,0.003,1024779456.0,0.809,0.819,0.807,0.815,2026-08-20 14:15:23+08:00
512170,医疗,0.358,4.07,0.014,1179581614.0,0.351,0.365,0.351,0.344,2026-08-20 14:15:22+08:00
159928,消费,0.669,0.75,0.005,202505159.8,0.664,0.67,0.663,0.664,2026-08-20 14:15:27+08:00
512480,半导体,1.033,-1.15,-0.012,1299551405.0,1.06,1.065,1.029,1.045,2026-08-20 14:15:23+08:00
159920,恒生,1.514,1.07,0.016,259801490.4,1.511,1.516,1.504,1.498,2026-08-20 14:15:27+08:00
513130,恒生科技,0.588,1.03,0.006,1643683235.0,0.591,0.592,0.585,0.582,2026-08-20 14:15:22+08:00
516160,新能源,2.491,-0.91,-0.023,97606531.0,2.516,2.55,2.488,2.514,2026-08-20 14:15:18+08:00
512000,券商,0.507,-0.39,-0.002,865717072.0,0.51,0.511,0.505,0.509,2026-08-20 14:15:24+08:00
512660,军工,1.096,-1.08,-0.012,212186400.0,1.111,1.115,1.094,1.108,2026-08-20 14:15:21+08:00
159995,芯片,1.143,-1.72,-0.02,820257207.388,1.174,1.182,1.14,1.163,2026-08-20 14:15:24+08:00
518880,黄金,9.233,2.89,0.259,4162177415.0,9.251,9.253,9.2,8.974,2026-08-20 14:15:18+08:00
159915,创业板,3.486,-0.34,-0.012,4719861459.992,3.527,3.55,3.476,3.498,2026-08-20 14:15:24+08:00
