代码,名称,现价,5日,10日,20日,RSI,MA20,MA60
510300,沪深300,4.624,-1.28,0.17,-2.2,43,4.676,4.766
588000,科创50,1.681,-3.39,-0.71,-6.92,42,1.756,1.905
510880,红利,3.446,-1.03,1.09,4.14,60,3.398,3.233
512800,银行,0.839,-0.83,2.19,4.87,59,0.822,0.797
512170,医疗,0.341,0.0,-1.73,-2.85,51,0.345,0.327
159928,消费,0.683,1.34,2.86,0.29,57,0.671,0.657
512480,半导体,0.988,-4.08,-1.98,-7.66,39,1.041,1.415
159920,恒生,1.486,-0.2,-0.8,-1.52,47,1.498,1.464
513130,恒生科技,0.553,-2.64,-3.15,-8.14,36,0.577,0.581
516160,新能源,2.362,-2.24,-4.22,-8.27,36,2.483,2.596
512000,券商,0.52,-2.26,2.16,-0.38,48,0.52,0.528
512660,军工,1.162,1.84,6.12,1.22,58,1.133,1.166
159995,芯片,1.106,-2.98,-1.07,-6.82,39,1.158,1.644
518880,黄金,9.047,-0.78,-5.1,0.42,50,9.193,8.761
159915,创业板,3.376,-1.06,-1.26,-5.3,43,3.49,3.71
