代码,名称,现价,5日,20日,RSI,MA20,MA60,昨日收
510300,沪深300,4.621,0.0,-2.28,45,4.671,4.761,4.637
588000,科创50,1.662,-2.41,-8.28,41,1.748,1.902,1.671
510880,红利,3.478,1.22,6.26,65,3.408,3.238,3.498
512800,银行,0.85,1.19,5.85,60,0.824,0.798,0.842
512170,医疗,0.333,-1.77,-6.2,48,0.345,0.328,0.337
159928,消费,0.667,0.3,-2.49,55,0.671,0.657,0.679
512480,半导体,0.979,-2.49,-8.33,39,1.036,1.394,0.983
159920,恒生,1.464,-1.15,-1.88,45,1.497,1.465,1.481
513130,恒生科技,0.537,-3.42,-10.05,34,0.574,0.58,0.548
516160,新能源,2.35,-0.84,-8.42,36,2.471,2.585,2.362
512000,券商,0.521,-0.95,-0.95,46,0.52,0.528,0.518
512660,军工,1.187,4.12,3.4,62,1.134,1.164,1.18
159995,芯片,1.096,-1.7,-8.05,38,1.153,1.62,1.1
518880,黄金,9.068,-0.41,0.29,50,9.19,8.762,9.041
159915,创业板,3.362,0.96,-6.71,43,3.477,3.698,3.373
