代码,名称,现价,5日,20日,RSI,MA20,MA60,昨收
510300,沪深300,4.551,-1.85,-2.21,34,4.632,4.733,4.523
588000,科创50,1.706,2.09,-3.12,40,1.705,1.877,1.638
510880,红利,3.363,-3.86,0.09,49,3.431,3.258,3.382
512800,银行,0.838,-0.48,2.82,56,0.834,0.803,0.843
512170,医疗,0.335,-0.59,-2.62,45,0.34,0.33,0.332
159928,消费,0.649,-4.42,-2.26,41,0.668,0.66,0.654
512480,半导体,1.008,2.54,-3.54,38,1.008,1.292,0.964
159920,恒生,1.451,-2.03,-3.14,38,1.49,1.469,1.452
513130,恒生科技,0.537,-2.01,-7.73,29,0.563,0.578,0.534
516160,新能源,2.309,-2.24,-8.15,32,2.416,2.538,2.299
512000,券商,0.506,-2.32,-0.59,35,0.518,0.527,0.501
512660,军工,1.15,-2.54,3.79,48,1.134,1.156,1.139
159995,芯片,1.122,2.0,-3.53,38,1.122,1.503,1.077
518880,黄金,8.903,-1.53,-0.79,42,9.17,8.773,8.829
159915,创业板,3.33,-1.27,-4.8,37,3.404,3.635,3.268
