代码,名称,现价,5日,20日,RSI,MA20,MA60,9/18收
510300,沪深300,4.595,0.94,-0.69,44,4.616,4.712,4.582
588000,科创50,1.741,7.94,2.96,52,1.7,1.856,1.744
510880,红利,3.381,-0.68,-1.72,43,3.427,3.275,3.339
512800,银行,0.837,-2.22,1.21,52,0.837,0.807,0.835
512170,医疗,0.347,3.89,2.36,53,0.338,0.332,0.34
159928,消费,0.656,-0.15,-0.61,41,0.666,0.662,0.652
512480,半导体,1.039,9.71,2.87,51,1.004,1.207,1.041
159920,恒生,1.46,-0.14,-2.6,40,1.481,1.473,1.452
513130,恒生科技,0.542,1.12,-5.24,41,0.556,0.577,0.546
516160,新能源,2.328,0.17,-7.1,40,2.385,2.505,2.334
512000,券商,0.507,0.8,-0.59,41,0.517,0.525,0.505
512660,军工,1.173,2.09,7.61,54,1.141,1.151,1.16
159995,芯片,1.151,9.0,3.04,49,1.118,1.405,1.152
518880,黄金,8.93,0.62,-6.63,50,9.129,8.799,9.009
159915,创业板,3.403,3.0,-1.56,48,3.378,3.588,3.391
