名称,收盘,5日,20日,RSI,MA20,MA60
沪深300,4.608,1.23,-0.41,47,4.615,4.706
科创50,1.749,8.43,3.43,53,1.703,1.847
红利,3.385,-0.56,-1.6,50,3.424,3.282
银行,0.839,-1.99,1.45,54,0.838,0.808
医疗,0.348,4.19,2.65,59,0.339,0.333
消费,0.658,0.15,-0.3,46,0.666,0.662
半导体,1.044,10.24,3.37,51,1.006,1.176
恒生,1.462,0.0,-2.47,44,1.479,1.475
恒生科技,0.545,1.68,-4.72,40,0.554,0.577
新能源,2.335,0.47,-6.82,40,2.376,2.496
券商,0.51,1.39,0.0,46,0.517,0.525
军工,1.176,2.35,7.89,59,1.145,1.15
芯片,1.157,9.56,3.58,50,1.12,1.369
黄金,8.93,0.62,-6.63,47,9.097,8.807
创业板,3.418,3.45,-1.13,50,3.376,3.574
