名称,现价,5日,20日,RSI,MA20,MA60,量比%
沪深300,4.594,0.97,-1.25,48,4.615,4.699,56
科创50,1.756,2.81,2.03,54,1.706,1.838,35
红利,3.356,-0.33,-2.44,49,3.423,3.29,30
银行,0.833,-0.72,0.48,54,0.839,0.81,73
医疗,0.349,4.18,1.16,59,0.339,0.333,61
消费,0.657,1.39,-1.2,46,0.665,0.663,52
半导体,1.05,4.17,3.24,52,1.008,1.143,37
恒生,1.463,0.83,-3.11,49,1.478,1.477,48
恒生科技,0.543,1.12,-5.89,44,0.553,0.577,41
新能源,2.314,0.48,-7.48,39,2.37,2.485,24
券商,0.51,1.39,-2.49,47,0.517,0.525,42
军工,1.154,0.35,4.81,56,1.149,1.148,44
芯片,1.164,3.56,2.92,51,1.122,1.332,46
黄金,8.907,0.02,-6.41,44,9.063,8.815,27
创业板,3.405,2.25,-0.79,50,3.376,3.558,50
